code,name,section,enabled,surgical,min_quantity,max_quantity,diagnosis_required,sex,scope,stay,coverage,odontology,priority
973500,EXTRACCION DE PROTESIS DENTAL SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,1,0
973501,EXTRACCION DE PROTESIS DENTAL,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,1,0
973600,EXTRACCION DE OTRO DISPOSITIVO DE FIJACION MANDIBULAR EXTERNA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
973700,EXTRACCION DE TUBO DE TRAQUEOSTOMIA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
973701,EXTRACCION DE TUBO DE TRAQUEOSTOMIA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
973800,RETIRO DE SUTURAS DE CABEZA Y CUELLO (RETIRO DE PUNTOS) SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
973801,RETIRO DE SUTURAS DE CABEZA Y CUELLO (RETIRO DE PUNTOS),SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
974100,EXTRACCION DE TUBO DE TORACOTOMIA O DE DRENAJE DE CAVIDAD PLEURAL SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
974101,EXTRACCION DE TUBO DE TORACOTOMIA O DE DRENAJE DE CAVIDAD PLEURAL,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
974200,EXTRACCION DE DREN MEDIASTINICO SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
974201,EXTRACCION DE DREN MEDIASTINICO,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
974300,RETIRO DE SUTURAS DE TORAX (RETIRO DE PUNTOS) SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
974301,RETIRO DE SUTURAS DE TORAX (RETIRO DE PUNTOS),SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
975100,EXTRACCION DE TUBO DE GASTROSTOMIA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
975101,EXTRACCION DE TUBO DE GASTROSTOMIA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
975200,EXTRACCION DE TUBO DE INTESTINO DELGADO SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
975201,EXTRACCION DE TUBO DE INTESTINO DELGADO,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
975300,EXTRACCION DE TUBO DE INTESTINO GRUESO O APENDICE SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,H,E,,0,0
975301,EXTRACCION DE TUBO DE INTESTINO GRUESO O APENDICE,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
975400,EXTRACCION DE TUBO DE COLECISTOSTOMIA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
975401,EXTRACCION DE TUBO DE COLECISTOSTOMIA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
975500,EXTRACCION DE TUBO EN T U OTRO TUBO DE VIA BILIAR O TUBO HEPATICO SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
975501,EXTRACCION DE TUBO EN T U OTRO TUBO DE VIA BILIAR O TUBO HEPATICO,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
975600,EXTRACCION DE TUBO O DREN PANCREATICO SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
975601,EXTRACCION DE TUBO O DREN PANCREATICO,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
975900,EXTRACCION DE OTRO DISPOSITIVO TERAPEUTICO DEL APARATO DIGESTIVO SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
975901,EXTRACCION DE OTRO DISPOSITIVO TERAPEUTICO DEL APARATO DIGESTIVO,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
976100,EXTRACCION DE TUBO DE PIELOSTOMIA Y NEFROSTOMIA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
